[2026-07-14T00:51:42.101Z] GET https://aios-grupos-vip.vercel.app/dr-colageno/aquecimento.html → 200 (514ms, 7567B)
[2026-07-14T00:51:42.626Z] GET https://fonts.googleapis.com/css2?family=Geist:wght@400;500;600&family=Geist+Mono:wght@400;500&display=swap → 200 (167ms, 9771B)
[2026-07-14T00:51:42.626Z] GET https://aios-grupos-vip.vercel.app/css/app.css → 200 (335ms, 29669B)
[2026-07-14T00:51:42.626Z] GET https://aios-grupos-vip.vercel.app/dr-colageno/client.js → 200 (413ms, ?B)
[2026-07-14T00:51:42.626Z] GET https://aios-grupos-vip.vercel.app/js/store.js → 200 (409ms, 15058B)
[2026-07-14T00:51:42.626Z] GET https://aios-grupos-vip.vercel.app/js/app.js → 200 (411ms, ?B)
[2026-07-14T00:51:43.032Z] GET https://fonts.gstatic.com/s/geist/v5/gyByhwUxId8gMEwcGFU.woff2 → pending (?ms, ?B)
[2026-07-14T00:51:43.033Z] GET https://fonts.gstatic.com/s/geistmono/v6/or3nQ6H-1_WfwkMZI_qYFrcdmg.woff2 → pending (?ms, ?B)
[2026-07-14T00:51:43.047Z] GET https://aios-grupos-vip.vercel.app/api/painel?slug=dr-colageno → pending (?ms, ?B)
[2026-07-14T00:51:55.062Z] GET https://aios-grupos-vip.vercel.app/api/painel?slug=dr-colageno → pending (?ms, ?B)
[2026-07-14T00:52:07.057Z] GET https://aios-grupos-vip.vercel.app/api/painel?slug=dr-colageno → pending (?ms, ?B)
[2026-07-14T00:52:19.062Z] GET https://aios-grupos-vip.vercel.app/api/painel?slug=dr-colageno → pending (?ms, ?B)
